vaccine,ワクチン
Stimulate,刺激
Persistence,永続性、粘り強さ
Characterization,特性評価
Optimistic,楽観的
Extraordinary,並外れた
modification,変形、調整
outskirts,郊外
evacuate,避難
diplomats,外交官
shed,流す
Inquiry,問い合わせ
warranty,保証
issue,発券する
invalid,無効
perception,理解
Extract,抜粋
Specifically,具体的には
Accomplish,達成、熟練する
Hub,中心、中核
Ideal,理想的な
Examine,詳しく見る
Following,〜の次に(=after)
Comply,従う
By for,はるかに、ずっと
institute,導入する
distribute,分配する
destination,目的地
Fountain,噴水
Require,求める
Patent,特許
quarantine,(伝染病予防のために)隔離する, 検疫する
struggle,奮闘する
critisize,批判する
durability,耐久性
Withstand,〜に持ちこたえる
Jeopardize,〜を危険にさらす
Involve,関与
Outdated,時代遅れの
Profitability,収益性
The district supervisor,地区の責任者
drop by,立ち寄る
Transcript,(講演などの)筆記録
result,生ずる、結果として起こる
anonymous,匿名
contribute,貢献
semiconductor,半導体
lot,くじ、地区、敷地、運
streamline,〜を能率化する、合理化する
Substantially,実質的に、大幅に
approval,認可
halt,〜を止める、中断させる
merged,併合する
as,〜するとき、〜しながら
surpass,超える
once,いったん〜したらすぐに
dedicated,専念する
versarile,多才な
be slated for,〜を予定する
demolition,解体
in order to,〜をするため
Even if,たとえ〜だとしても
apart,別れて、別々に
provided that,〜した場合のみ
Given,〜を考慮すると
Providing,〜した場合に限りのみ
In light of,〜を考慮して
acquisition,買収、取得
expiration,（期間の）満了
polished,上品な、洗練された
fraction,ほんの少し、一部分
gauge,推し量る、推測する
gourmet,美味な、食通
consecutive,連続した
ahead of,予定より早く
definitely,間違いなく、確かに
ingredient,食材
exclusive,排他的な
soar,急騰する、急上昇する
sluggish,動きの鈍い、低迷した
administrative,管理の, 経営上の, 行政上の
manufacturing,製造過程
expertise,専門知識
supplement,〜を補足する
in charge of,〜を担当している
conservation,保護
appoint,指名する、任命する
convey,〜を伝える
relevant,関連した、適切な
heads into,向かう
prestigious,権威のある
strengthen,〜を強化する、〜を改善する
each of the 複数形,〜の各々が
report to work,出勤する
Altogether,完全に、全体的に、要約すると
underestimate,少なく見積もる、過小評価する
only to do,結局〜するだけの結果になる
in case,万一に備えて、〜の場合の用心に
consumption,消費
accordingly,それに応じて
correspondent,文通員、特派員、通信員
directory,住所氏名録
robust,強靭な
immune,免疫
tumble,転ぶ
intensify,〜を強める、強烈にする
adequate,足りる、十分な
adequacy,適切、妥当
commit,ゆだねる、約束する
overseas,海外へ
welfare,福祉、幸福、繁栄
habit,習慣
habitually,習慣的に、いつも
Strand,立ち往生させる
across from,〜の向かいに
recruit,新入社員
Whether to do,〜すべきかどうか
legible,読みやすい
decide against doing,〜しないことを決める
instrumental,重要な役割を果たす
accurately,正確に
dietary,食事の
allocation,割り当て
provision,規則
benefit,利益を得る
influential,影響力のある
inscribe,〜を刻みつける
plague,飾り板
Tighten,しっかりと締める
firmly,しっかりと
indicate,述べる
in the event of,〜の場合には
right,権利
most likely,おそらく
be met with enthusiasm,熱烈な支持を受ける
enlist,参加する
proficient,熟達した、堪能な
courtesy,礼儀正しさ
silence,静かにさせる
engagement,(面会などの)約束
even,〜よりもさらにいっそう(比較の強調)
have yet to do,まだ〜していない
invoice,送り状
acquaint,〜に知らせる、情報を与える
exemplify,〜の典型例となる
terminate,〜を終わらせる
stable,安定した
ever since,〜以来ずっと
likewaise,同様に
investigation,調査、取り調べ
tentative,仮の
differentiate,区別する、差別する
aspire,熱望する
peers,(年齢、職業などが)同等の人
expedite,〜を早める、急送する
reputation,評判
mature,成熟する、発達する
urgent,緊急な
facility,施設
depend,頼る
endorse,〜を支持する
overwhelmingly,圧倒的に
vacant,明け渡す
identifiable,特定可能
moderately,適度に
vital,不可欠な
semester,一学期、半学年
applicant,志願者、出願者
eligible,資格のある
ideal,理想的な
diagnostic,診断の
precisely,ちょうど、正確に

stochastic,確率的な、確率論的な、推計学的な
iterative,反復の
fiber,(有機体・無機体の一本一本の)繊維、線維、(紡績用の)繊維、性質、素質、性格、精神的たくましさ、堅固さ
depict,(絵画・映画などで)(…を)描く、(…を)(言葉で)描写する、叙述する
抽出,extract;percolationleaching;abstraction;exhaustion;extraction
forgo,なしですませる、差し控える、見合わせる
iterative,反復の
further,(距離・空間・時間が)さらに遠く、もっと先に、(程度が)さらに進んで、なおそのうえに、さらにまた
